城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-09-21,晴,29,18,南风转南风,<3级,22日（明天）,多云,29,19,西南风转西南风,<3级,23日（后天）,多云,30,19,南风转东北风,<3级,24日（周四）,小雨转阴,26,18,东南风转北风,<3级
上海,2026-09-21,多云,29,22,北风转东北风,<3级,22日（明天）,阴转多云,29,23,东北风转东风,<3级,23日（后天）,阴,29,23,东风转东风,<3级,24日（周四）,阴转多云,29,24,东风转东风,<3级
广州,2026-09-21,雷阵雨转晴,34,25,无持续风向转无持续风向,<3级,22日（明天）,中雨转多云,32,24,无持续风向转无持续风向,<3级,23日（后天）,雷阵雨转多云,32,25,无持续风向转无持续风向,<3级,24日（周四）,多云,32,25,无持续风向转无持续风向,<3级
深圳,2026-09-21,雷阵雨,31,25,无持续风向转无持续风向,<3级,22日（明天）,雷阵雨,31,24,无持续风向转无持续风向,<3级,23日（后天）,雷阵雨转多云,31,26,无持续风向转无持续风向,<3级,24日（周四）,多云,31,26,无持续风向转无持续风向,<3级
成都,2026-09-21,多云转阵雨,28,20,无持续风向转无持续风向,<3级,22日（明天）,阵雨,25,19,无持续风向转无持续风向,<3级,23日（后天）,阵雨,24,19,无持续风向转无持续风向,<3级,24日（周四）,多云转小雨,24,19,无持续风向转无持续风向,<3级
杭州,2026-09-21,多云,31,23,北风转东北风,<3级,22日（明天）,多云,32,23,东风转东南风,<3级,23日（后天）,多云,32,23,东风转东南风,<3级,24日（周四）,多云,32,23,东风转南风,<3级
武汉,2026-09-21,阵雨,26,21,北风转北风,<3级,22日（明天）,阵雨转阴,24,21,北风转北风,<3级,23日（后天）,阵雨,25,22,北风转东风,<3级,24日（周四）,阴转多云,29,23,东北风转东北风,<3级
南京,2026-09-21,阴,28,21,东北风转东北风,3-4级转<3级,22日（明天）,阴,27,21,东北风转东风,<3级,23日（后天）,多云,27,22,东风转东风,<3级转3-4级,24日（周四）,小雨转阴,24,22,东风转东风,3-4级
重庆,2026-09-21,小雨转中雨,26,22,西风转西风,<3级,22日（明天）,小雨,24,21,西风转东风,<3级,23日（后天）,小雨,28,22,东北风转北风,<3级,24日（周四）,小雨,29,24,西北风转东北风,<3级
西安,2026-09-21,阴转多云,26,18,无持续风向转无持续风向,<3级,22日（明天）,阴,26,19,无持续风向转无持续风向,<3级,23日（后天）,阴转小雨,25,19,无持续风向转无持续风向,<3级,24日（周四）,阴,22,18,无持续风向转无持续风向,<3级
